Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type,PwD
125,4,0,1,2016,0,94.0,94.0,2,0
126,4,0,1,2016,59,335.0,161.0,4,0
127,4,0,1,2016,67,441.0,217.0,3,0
128,17,0,1,2016,76,2450.0,1701.0,2,0
129,5,0,1,2016,67,400.0,153.0,3,0
130,5,0,1,2016,133,253.0,240.0,4,0
131,5,0,1,2016,134,326.0,281.0,1,0
132,5,0,1,2016,134,252.0,219.0,3,0
133,11,0,1,2016,76,46.0,46.0,2,0
134,11,0,1,2016,138,183.0,183.0,2,0
135,15,0,1,2016,3,7455.0,6306.0,2,0
136,15,0,1,2016,5,1123.0,272.0,4,0
137,15,0,1,2016,9,1072.0,867.0,4,0
138,15,0,1,2016,60,1093.0,328.0,3,0
139,15,0,1,2016,73,901.0,679.0,3,0
140,15,0,1,2016,83,1013.0,658.0,4,0
141,15,0,1,2016,84,32.0,32.0,2,0
142,15,0,1,2016,96,19.0,19.0,1,1
143,3,0,1,2016,69,7295.0,5408.0,2,0
144,3,0,1,2016,70,1641.0,1362.0,3,0
145,3,0,1,2016,84,541.0,455.0,4,0
146,3,0,1,2016,95,89.0,89.0,2,0
147,3,0,1,2016,141,2333.0,2247.0,1,0
148,4,0,1,2016,0,145.0,79.0,4,0
149,4,0,1,2016,67,50.0,19.0,2,0
150,4,0,1,2016,84,81.0,18.0,3,0
151,4,0,1,2016,103,337.0,204.0,4,0
152,4,0,1,2016,149,929.0,602.0,3,0
153,4,0,1,2016,151,1885.0,1665.0,1,0
154,17,0,1,2016,138,531.0,454.0,4,0
155,5,0,1,2016,67,70.0,70.0,2,0
156,5,0,1,2016,84,122.0,16.0,3,0
157,5,0,1,2016,103,995.0,481.0,3,0
158,5,0,1,2016,138,26.0,26.0,2,0
159,5,0,1,2016,175,472.0,257.0,4,0
160,11,0,1,2016,67,1234.0,983.0,3,0
161,11,0,1,2016,149,1899.0,1411.0,3,0
162,15,0,1,2016,1,4033.0,2938.0,2,0
163,15,0,1,2016,3,3282.0,2669.0,1,0
164,11,0,1,2016,149,7732.0,6082.0,2,0
165,15,0,1,2016,73,1601.0,1432.0,1,0
166,15,0,1,2016,77,125.0,94.0,3,0
167,15,0,1,2016,92,42.0,42.0,1,1
168,15,0,1,2016,84,516.0,440.0,1,0
169,3,0,1,2016,84,5059.0,3124.0,2,0
170,3,0,1,2016,95,1813.0,1096.0,1,0
171,4,0,1,2016,84,9.0,9.0,2,0
172,4,0,1,2016,90,184.0,132.0,3,0
173,4,0,1,2016,106,812.0,801.0,3,0
174,4,0,1,2016,106,50.0,50.0,1,1
175,17,0,1,2016,138,24.0,24.0,1,1
176,5,0,1,2016,44,4714.0,3787.0,2,0
177,5,0,1,2016,44,843.0,843.0,4,0
178,5,0,1,2016,59,188.0,188.0,2,0
179,5,0,1,2016,67,47.0,14.0,4,0
180,5,0,1,2016,76,115.0,24.0,2,0
181,5,0,1,2016,84,14.0,11.0,2,0
182,5,0,1,2016,179,1719.0,1105.0,3,0
183,11,0,1,2016,138,4434.0,3432.0,2,0
184,11,0,1,2016,138,1206.0,908.0,3,0
185,15,0,1,2016,54,2887.0,2222.0,1,0
186,15,0,1,2016,67,1349.0,714.0,1,0
187,3,0,1,2016,69,542.0,542.0,4,0
188,3,0,1,2016,138,1122.0,689.0,3,0
189,3,0,1,2016,152,988.0,973.0,4,0
190,4,0,1,2016,89,404.0,223.0,1,0
191,4,0,1,2016,106,928.0,477.0,1,0
192,17,0,1,2016,67,1341.0,1100.0,3,0
193,5,0,1,2016,60,876.0,739.0,3,0
194,5,0,1,2016,76,43.0,23.0,3,0
195,5,0,1,2016,77,47.0,44.0,3,0
196,5,0,1,2016,179,102.0,102.0,2,0
197,11,0,1,2016,67,2371.0,2013.0,1,0
198,11,0,1,2016,84,403.0,299.0,4,0
199,11,0,1,2016,149,3200.0,2912.0,1,0
200,11,0,1,2016,149,1073.0,831.0,4,0
201,15,0,1,2016,2,3091.0,2652.0,1,0
202,15,0,1,2016,3,151.0,151.0,2,0
203,15,0,1,2016,5,8658.0,6645.0,2,0
204,15,0,1,2016,9,10310.0,5783.0,2,0
205,15,0,1,2016,77,12.0,12.0,2,0
206,3,0,1,2016,67,416.0,357.0,4,0
207,3,0,1,2016,69,1483.0,1483.0,3,0
208,3,0,1,2016,76,606.0,299.0,3,0
209,3,0,1,2016,138,5716.0,3710.0,2,0
210,3,0,1,2016,141,602.0,602.0,4,0
211,3,0,1,2016,152,2986.0,1779.0,1,0
212,3,0,1,2016,138,157.0,157.0,2,0
213,3,0,1,2016,152,45.0,45.0,1,1
214,4,0,1,2016,59,1479.0,422.0,2,0
215,3,0,1,2016,76,468.0,390.0,4,0
216,4,0,1,2016,59,40.0,40.0,1,1
217,4,0,1,2016,0,45.0,45.0,1,1
218,3,0,1,2016,95,4432.0,2529.0,2,0
219,4,0,1,2016,64,697.0,661.0,4,0
220,4,0,1,2016,89,87.0,60.0,4,0
221,3,0,1,2016,140,2221.0,1800.0,1,0
222,4,0,1,2016,103,796.0,283.0,1,0
223,4,0,1,2016,90,514.0,228.0,2,0
224,3,0,1,2016,141,6554.0,5680.0,2,0
225,4,0,1,2016,90,130.0,89.0,4,0
226,4,0,1,2016,103,43.0,43.0,2,0
227,4,0,1,2016,0,1098.0,408.0,1,0
228,4,0,1,2016,138,777.0,26.0,2,0
229,4,0,1,2016,101,706.0,607.0,4,0
230,4,0,1,2016,59,3.0,3.0,3,1
231,4,0,1,2016,103,1041.0,6.0,2,0
232,4,0,1,2016,142,284.0,189.0,3,0
233,4,0,1,2016,64,49.0,49.0,2,0
234,4,0,1,2016,151,3403.0,3113.0,2,0
235,4,0,1,2016,150,959.0,766.0,3,0
236,4,0,1,2016,67,108.0,57.0,4,0
237,4,0,1,2016,150,1783.0,1560.0,1,0
238,5,0,1,2016,87,536.0,438.0,1,0
239,4,0,1,2016,76,15.0,1.0,4,0
240,5,0,1,2016,138,178.0,20.0,3,0
241,4,0,1,2016,150,384.0,384.0,4,0
242,4,0,1,2016,89,24.0,24.0,2,0
243,17,0,1,2016,138,2392.0,2126.0,1,0
244,11,0,1,2016,76,427.0,365.0,3,0
245,4,0,1,2016,142,484.0,428.0,1,0
246,11,0,1,2016,84,1686.0,1329.0,1,0
247,5,0,1,2016,54,91.0,91.0,2,0
248,17,0,1,2016,76,1201.0,821.0,1,0
249,5,0,1,2016,179,5431.0,2826.0,2,0
250,15,0,1,2016,1,1718.0,1618.0,1,0
251,5,0,1,2016,54,3718.0,2609.0,2,0
252,15,0,1,2016,60,3606.0,3009.0,2,0
253,11,0,1,2016,76,676.0,448.0,1,0
254,5,0,1,2016,54,2207.0,1715.0,1,0
255,15,0,1,2016,0,16.0,16.0,1,1
256,15,0,1,2016,73,35.0,35.0,1,1
257,15,0,1,2016,67,123.0,123.0,2,0
258,5,0,1,2016,60,2996.0,1729.0,2,0
259,5,0,1,2016,103,15.0,15.0,2,0
260,15,0,1,2016,92,1556.0,1288.0,2,0
261,15,0,1,2016,92,418.0,339.0,3,0
262,5,0,1,2016,103,618.0,202.0,4,0
263,11,0,1,2016,138,1776.0,1337.0,1,0
264,15,0,1,2016,92,745.0,581.0,1,0
265,15,0,1,2016,3,1125.0,119.0,4,0
266,15,0,1,2016,55,1119.0,884.0,4,0
267,3,0,1,2016,67,7066.0,5456.0,2,0
268,4,0,1,2016,67,1007.0,356.0,1,0
269,4,0,1,2016,89,583.0,249.0,2,0
270,4,0,1,2016,103,763.0,360.0,3,0
271,4,0,1,2016,106,1843.0,1092.0,2,0
272,4,0,1,2016,138,164.0,33.0,3,0
273,4,0,1,2016,149,1647.0,1015.0,1,0
274,5,0,1,2016,76,19.0,12.0,4,0
275,5,0,1,2016,77,140.0,72.0,1,0
276,5,0,1,2016,179,1004.0,647.0,4,0
277,11,0,1,2016,138,557.0,401.0,4,0
278,15,0,1,2016,9,2347.0,1815.0,3,0
279,15,0,1,2016,55,3321.0,2262.0,1,0
280,15,0,1,2016,65,8727.0,3979.0,2,0
281,15,0,1,2016,76,30.0,24.0,4,0
282,15,0,1,2016,83,29.0,29.0,2,0
283,3,0,1,2016,84,979.0,789.0,3,0
284,3,0,1,2016,95,992.0,762.0,3,0
285,3,0,1,2016,152,8482.0,6393.0,2,0
286,4,0,1,2016,0,468.0,297.0,3,0
287,4,0,1,2016,59,974.0,447.0,1,0
288,4,0,1,2016,76,26.0,2.0,3,0
289,4,0,1,2016,84,227.0,22.0,2,0
290,4,0,1,2016,84,1.0,1.0,3,1
291,4,0,1,2016,89,226.0,140.0,3,0
292,4,0,1,2016,151,389.0,389.0,4,0
293,5,0,1,2016,77,186.0,124.0,2,0
294,5,0,1,2016,87,999.0,549.0,2,0
295,11,0,1,2016,76,1411.0,933.0,2,0
296,15,0,1,2016,1,857.0,779.0,3,0
297,15,0,1,2016,2,1845.0,1381.0,3,0
298,15,0,1,2016,3,2065.0,1728.0,3,0
299,15,0,1,2016,55,6904.0,5556.0,2,0
300,15,0,1,2016,55,1747.0,1584.0,3,0
301,15,0,1,2016,5,3571.0,3048.0,1,0
302,15,0,1,2016,59,460.0,266.0,4,0
303,15,0,1,2016,60,1806.0,1478.0,1,0
304,15,0,1,2016,73,4158.0,3559.0,2,0
305,15,0,1,2016,84,273.0,161.0,3,0
306,15,0,1,2016,77,137.0,104.0,4,0
307,15,0,1,2016,96,173.0,39.0,4,0
308,3,0,1,2016,76,1135.0,768.0,1,0
309,3,0,1,2016,95,631.0,441.0,4,0
310,3,0,1,2016,140,6399.0,5708.0,2,0
311,3,0,1,2016,140,109.0,109.0,2,0
312,4,0,1,2016,84,162.0,64.0,1,0
313,4,0,1,2016,84,45.0,20.0,4,0
314,4,0,1,2016,106,368.0,368.0,4,0
315,4,0,1,2016,138,13.0,13.0,2,0
316,4,0,1,2016,142,133.0,56.0,4,0
317,17,0,1,2016,138,6094.0,4670.0,2,0
318,5,0,1,2016,54,1525.0,1116.0,3,0
319,5,0,1,2016,59,1704.0,980.0,2,0
320,5,0,1,2016,77,4.0,4.0,3,1
321,5,0,1,2016,84,403.0,80.0,2,0
322,5,0,1,2016,103,1565.0,608.0,1,0
323,5,0,1,2016,134,322.0,319.0,4,0
324,5,0,1,2016,138,907.0,247.0,2,0
325,5,0,1,2016,175,2526.0,1036.0,2,0
326,5,0,1,2016,175,1570.0,837.0,1,0
327,11,0,1,2016,84,890.0,697.0,3,0
328,15,0,1,2016,0,415.0,391.0,4,0
329,15,0,1,2016,59,2965.0,1906.0,2,0
330,15,0,1,2016,67,671.0,455.0,3,0
331,15,0,1,2016,60,592.0,508.0,4,0
332,15,0,1,2016,76,286.0,181.0,2,0
333,15,0,1,2016,76,2.0,2.0,4,1
334,15,0,1,2016,77,196.0,151.0,1,0
335,15,0,1,2016,96,21.0,21.0,2,0
336,15,0,1,2016,97,304.0,144.0,4,0
337,15,0,1,2016,120,1171.0,775.0,3,0
338,15,0,1,2016,121,1365.0,1224.0,3,0
339,15,0,1,2016,121,4563.0,3492.0,2,0
340,15,0,1,2016,120,1817.0,1406.0,1,0
341,15,0,1,2016,113,1023.0,282.0,4,0
342,15,0,1,2016,122,1226.0,859.0,1,0
343,15,0,1,2016,121,2144.0,1923.0,1,0
344,15,0,1,2016,152,1214.0,972.0,3,0
345,15,0,1,2016,157,5502.0,4440.0,2,0
346,15,0,1,2016,158,1418.0,1314.0,3,0
347,15,0,1,2016,163,2619.0,2112.0,1,0
348,15,0,1,2016,176,4893.0,4496.0,2,0
349,15,0,1,2016,176,2490.0,1985.0,1,0
350,10,0,1,2016,67,1764.0,1093.0,1,0
351,10,0,1,2016,103,623.0,623.0,4,0
352,13,0,1,2016,76,690.0,563.0,3,0
353,13,0,1,2016,138,2288.0,1732.0,1,0
354,14,0,1,2016,64,729.0,51.0,4,0
355,14,0,1,2016,67,179.0,116.0,4,0
356,14,0,1,2016,76,125.0,65.0,1,0
357,14,0,1,2016,81,1351.0,991.0,3,0
358,14,0,1,2016,128,4148.0,3030.0,2,0
359,14,0,1,2016,128,797.0,584.0,4,0
360,16,0,1,2016,48,1103.0,926.0,4,0
361,16,0,1,2016,50,3607.0,3378.0,1,0
362,16,0,1,2016,59,940.0,467.0,3,0
363,16,0,1,2016,60,186.0,186.0,2,0
364,16,0,1,2016,68,885.0,755.0,3,0
365,16,0,1,2016,77,67.0,67.0,4,0
366,16,0,1,2016,84,196.0,25.0,3,0
367,16,0,1,2016,152,2010.0,1685.0,1,0
368,16,0,1,2016,161,799.0,520.0,4,0
369,7,0,1,2016,59,2672.0,2293.0,1,0
370,19,0,1,2016,76,586.0,438.0,4,0
371,20,0,1,2016,59,1833.0,1442.0,1,0
372,20,0,1,2016,95,650.0,329.0,1,0
373,20,0,1,2016,115,1946.0,1601.0,3,0
374,23,0,1,2016,99,6646.0,5690.0,2,0
375,23,0,1,2016,103,8035.0,6879.0,2,0
376,15,0,1,2016,122,155.0,155.0,2,0
377,15,0,1,2016,126,4436.0,3847.0,2,0
378,15,0,1,2016,144,67.0,67.0,2,0
379,15,0,1,2016,152,4222.0,3373.0,2,0
380,15,0,1,2016,172,1074.0,186.0,4,0
381,10,0,1,2016,107,713.0,599.0,4,0
382,10,0,1,2016,129,6844.0,5389.0,2,0
383,13,0,1,2016,76,535.0,234.0,4,0
384,13,0,1,2016,138,6006.0,4876.0,2,0
385,14,0,1,2016,128,2166.0,1445.0,1,0
386,15,0,1,2016,158,2842.0,2654.0,1,0
387,14,0,1,2016,138,347.0,95.0,3,0
388,10,0,1,2016,129,69.0,69.0,2,0
389,16,0,1,2016,0,324.0,183.0,4,0
390,16,0,1,2016,59,81.0,81.0,2,0
391,10,0,1,2016,129,2983.0,2107.0,1,0
392,16,0,1,2016,60,1028.0,933.0,3,0
393,16,0,1,2016,76,173.0,62.0,2,0
394,13,0,1,2016,84,5615.0,3693.0,2,0
395,14,0,1,2016,80,3557.0,2666.0,1,0
396,16,0,1,2016,77,278.0,214.0,2,0
397,16,0,1,2016,84,113.0,84.0,4,0
398,16,0,1,2016,1,887.0,887.0,3,0
399,16,0,1,2016,76,58.0,14.0,3,0
400,16,0,1,2016,85,677.0,363.0,1,0
401,16,0,1,2016,102,866.0,398.0,4,0
402,16,0,1,2016,84,606.0,189.0,2,0
403,16,0,1,2016,138,30.0,30.0,2,0
404,16,0,1,2016,139,100.0,100.0,2,0
405,16,0,1,2016,152,1283.0,1061.0,3,0
406,16,0,1,2016,139,2194.0,1293.0,2,0
407,16,0,1,2016,139,311.0,185.0,4,0
408,16,0,1,2016,171,2777.0,2281.0,1,0
409,16,0,1,2016,153,1730.0,1338.0,3,0
410,16,0,1,2016,171,929.0,929.0,4,0
411,7,0,1,2016,76,576.0,310.0,3,0
412,7,0,1,2016,138,49.0,49.0,1,1
413,19,0,1,2016,59,7891.0,6560.0,2,0
414,7,0,1,2016,76,237.0,230.0,4,0
415,19,0,1,2016,138,23.0,23.0,2,0
416,7,0,1,2016,138,994.0,678.0,3,0
417,20,0,1,2016,76,230.0,127.0,1,0
418,20,0,1,2016,9,2134.0,1757.0,3,0
419,20,0,1,2016,103,4345.0,2869.0,2,0
420,20,0,1,2016,114,3454.0,3150.0,1,0
421,20,0,1,2016,103,20.0,20.0,2,0
422,20,0,1,2016,175,4353.0,3502.0,2,0
423,20,0,1,2016,152,1575.0,1112.0,3,0
424,20,0,1,2016,174,3452.0,2787.0,1,0
425,23,0,1,2016,77,426.0,426.0,4,0
426,23,0,1,2016,76,64.0,34.0,2,0
427,23,0,1,2016,103,50.0,50.0,2,0
428,23,0,1,2016,109,2079.0,1629.0,3,0
429,23,0,1,2016,84,1321.0,720.0,3,0
430,23,0,1,2016,95,715.0,600.0,4,0
431,23,0,1,2016,138,2234.0,1468.0,1,0
432,23,0,1,2016,136,4696.0,3643.0,2,0
433,23,0,1,2016,136,2256.0,1482.0,1,0
434,23,0,1,2016,138,32.0,32.0,1,1
435,15,0,1,2016,153,1258.0,1085.0,3,0
436,15,0,1,2016,153,692.0,692.0,4,0
437,15,0,1,2016,164,1034.0,827.0,4,0
438,15,0,1,2016,172,3416.0,2631.0,1,0
439,10,0,1,2016,59,2341.0,1734.0,1,0
440,10,0,1,2016,103,161.0,161.0,2,0
441,10,0,1,2016,107,2180.0,1751.0,1,0
442,14,0,1,2016,0,505.0,159.0,4,0
443,14,0,1,2016,51,5433.0,3578.0,2,0
444,14,0,1,2016,59,2569.0,1713.0,2,0
445,14,0,1,2016,80,2110.0,1832.0,3,0
446,14,0,1,2016,84,798.0,248.0,2,0
447,14,0,1,2016,84,3.0,3.0,4,1
448,14,0,1,2016,137,637.0,444.0,4,0
449,14,0,1,2016,138,4.0,4.0,1,1
450,16,0,1,2016,0,795.0,414.0,3,0
451,16,0,1,2016,1,3251.0,2412.0,2,0
452,16,0,1,2016,152,64.0,64.0,2,0
453,7,0,1,2016,76,1805.0,493.0,2,0
454,19,0,1,2016,59,46.0,46.0,2,0
455,20,0,1,2016,76,17.0,17.0,2,0
456,20,0,1,2016,76,1.0,1.0,3,1
457,20,0,1,2016,84,478.0,119.0,3,0
458,20,0,1,2016,115,3305.0,2705.0,1,0
459,23,0,1,2016,67,168.0,168.0,2,0
460,23,0,1,2016,84,2361.0,1377.0,1,0
461,23,0,1,2016,95,37.0,37.0,1,1
462,15,0,1,2016,121,161.0,161.0,2,0
463,15,0,1,2016,135,848.0,492.0,1,0
464,15,0,1,2016,135,730.0,502.0,3,0
465,15,0,1,2016,163,105.0,105.0,2,0
466,15,0,1,2016,163,900.0,690.0,4,0
467,15,0,1,2016,164,6355.0,5586.0,2,0
468,10,0,1,2016,76,96.0,48.0,4,0
469,10,0,1,2016,76,255.0,118.0,3,0
470,14,0,1,2016,84,240.0,144.0,3,0
471,14,0,1,2016,170,2856.0,1391.0,1,0
472,16,0,1,2016,48,6368.0,2531.0,2,0
473,16,0,1,2016,76,1.0,1.0,2,0
474,16,0,1,2016,77,4.0,4.0,2,0
475,16,0,1,2016,84,22.0,22.0,2,0
476,16,0,1,2016,153,699.0,699.0,4,0
477,7,0,1,2016,138,1411.0,1150.0,1,0
478,19,0,1,2016,76,680.0,242.0,3,0
479,19,0,1,2016,76,1159.0,719.0,1,0
480,20,0,1,2016,9,53.0,53.0,2,0
481,20,0,1,2016,84,239.0,192.0,4,0
482,20,0,1,2016,115,6865.0,4328.0,2,0
483,23,0,1,2016,76,1276.0,863.0,1,0
484,23,0,1,2016,84,133.0,22.0,2,0
485,23,0,1,2016,99,108.0,108.0,2,0
486,23,0,1,2016,103,1970.0,1624.0,3,0
487,23,0,1,2016,136,1503.0,1059.0,3,0
488,23,0,1,2016,138,6400.0,3389.0,2,0
489,23,0,1,2016,138,1277.0,696.0,3,0
490,23,0,1,2016,155,3462.0,2754.0,1,0
491,15,0,1,2016,135,95.0,95.0,2,0
492,15,0,1,2016,135,823.0,479.0,4,0
493,15,0,1,2016,144,2299.0,1561.0,2,0
494,10,0,1,2016,67,5300.0,3804.0,2,0
495,10,0,1,2016,129,835.0,809.0,4,0
496,10,0,1,2016,138,1082.0,887.0,1,0
497,13,0,1,2016,76,2704.0,699.0,2,0
498,14,0,1,2016,0,154.0,154.0,2,0
499,14,0,1,2016,59,847.0,660.0,3,0
500,14,0,1,2016,76,230.0,113.0,2,0
501,14,0,1,2016,81,655.0,466.0,4,0
502,14,0,1,2016,84,433.0,177.0,1,0
503,16,0,1,2016,67,178.0,63.0,4,0
504,16,0,1,2016,102,5127.0,1364.0,2,0
505,16,0,1,2016,102,1476.0,1043.0,3,0
506,16,0,1,2016,138,1246.0,535.0,2,0
507,16,0,1,2016,139,897.0,597.0,1,0
508,7,0,1,2016,67,1225.0,954.0,3,0
509,19,0,1,2016,138,613.0,516.0,4,0
510,20,0,1,2016,8,710.0,68.0,4,0
511,20,0,1,2016,67,722.0,497.0,3,0
512,20,0,1,2016,114,907.0,72.0,4,0
513,23,0,1,2016,6,3554.0,3355.0,1,0
514,23,0,1,2016,7,9589.0,6760.0,2,0
515,23,0,1,2016,76,3479.0,1655.0,2,0
516,23,0,1,2016,103,949.0,46.0,4,0
517,15,0,1,2016,126,1478.0,1416.0,3,0
518,15,0,1,2016,153,157.0,157.0,2,0
519,15,0,1,2016,153,2484.0,2248.0,1,0
520,15,0,1,2016,160,7423.0,6430.0,2,0
521,15,0,1,2016,164,1985.0,1628.0,3,0
522,15,0,1,2016,176,1908.0,1873.0,3,0
523,10,0,1,2016,67,3.0,3.0,4,1
524,13,0,1,2016,76,1330.0,851.0,1,0
525,14,0,1,2016,76,83.0,29.0,3,0
526,14,0,1,2016,81,1637.0,1183.0,1,0
527,14,0,1,2016,84,165.0,98.0,4,0
528,14,0,1,2016,128,140.0,140.0,2,0
529,14,0,1,2016,137,976.0,528.0,2,0
530,14,0,1,2016,138,197.0,50.0,4,0
531,16,0,1,2016,0,3242.0,1884.0,2,0
532,16,0,1,2016,77,153.0,96.0,1,0
533,16,0,1,2016,68,327.0,316.0,4,0
534,16,0,1,2016,138,512.0,240.0,1,0
535,7,0,1,2016,76,56.0,56.0,2,0
536,7,0,1,2016,138,348.0,334.0,4,0
537,19,0,1,2016,59,939.0,597.0,4,0
538,19,0,1,2016,76,2888.0,1541.0,2,0
