Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type,PwD
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2250.0,1374.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",2535.0,2028.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",885.0,803.0,ST,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",708.0,394.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",226.0,63.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",434.0,255.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",430.0,430.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",865.0,725.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",118.0,118.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",900.0,534.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",3788.0,2728.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemistry (5 Years, Integrated Master of Science)",3585.0,2684.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Economics (5 Years, Integrated Master of Science)",1787.0,1045.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",170.0,61.0,ST,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",8142.0,6078.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",58.0,58.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",371.0,104.0,OBC-NCL,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",502.0,433.0,ST,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2529.0,2000.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",62.0,33.0,OBC-NCL,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2783.0,1497.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (4 Years, Bachelor of Technology)",187.0,110.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1337.0,1263.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",6.0,6.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",1405.0,1177.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",107.0,51.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",75.0,51.0,OPEN,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",6561.0,4626.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",572.0,257.0,SC,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",354.0,342.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemistry (4 Years, Bachelor of Science)",4880.0,3323.0,OPEN,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",3577.0,1730.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemistry (4 Years, Bachelor of Science)",2596.0,1753.0,OBC-NCL,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",59.0,59.0,OBC-NCL,true
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",328.0,175.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",3497.0,2864.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",2.0,2.0,OBC-NCL,true
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",6312.0,4321.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1524.0,890.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Architecture (5 Years, Bachelor of Architecture)",3763.0,2604.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",117.0,29.0,ST,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",2487.0,1941.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",149.0,48.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",60.0,60.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",10.0,10.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",758.0,758.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1126.0,998.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",2251.0,897.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Economics (5 Years, Integrated Master of Science)",2355.0,1867.0,OBC-NCL,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",2668.0,1951.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",3.0,2.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",349.0,164.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",580.0,333.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",3450.0,3001.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",1563.0,1485.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",58.0,58.0,OBC-NCL,true
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",7124.0,6162.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",34.0,25.0,OBC-NCL,true
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",404.0,338.0,ST,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",5.0,5.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",669.0,324.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",46.0,40.0,ST,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",2240.0,1684.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",77.0,3.0,ST,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",989.0,791.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",278.0,133.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",473.0,356.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",804.0,590.0,ST,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",90.0,90.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",862.0,704.0,ST,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",702.0,395.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",146.0,146.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (4 Years, Bachelor of Technology)",397.0,250.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",389.0,284.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",477.0,390.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Economics (5 Years, Integrated Master of Science)",4128.0,2779.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",1508.0,1223.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Applied Geology (5 Years, Integrated Master of Science)",1994.0,1805.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",1456.0,752.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemistry (5 Years, Integrated Master of Science)",2097.0,1892.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemistry (5 Years, Integrated Master of Science)",765.0,320.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",240.0,118.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",86.0,30.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",1190.0,138.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",351.0,232.0,ST,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",22.0,22.0,OBC-NCL,true
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemistry (4 Years, Bachelor of Science)",1743.0,261.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",8.0,8.0,OBC-NCL,true
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",901.0,803.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",104.0,104.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",4904.0,3782.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",124.0,124.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",1072.0,650.1,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1441.0,1101.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",2618.0,767.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",1018.0,520.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",143.0,11.0,ST,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Engineering Physics (4 Years, Bachelor of Technology)",2809.0,1074.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (4 Years, Bachelor of Technology)",51.0,51.0,OBC-NCL,true
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",174.0,174.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Textile Technology (4 Years, Bachelor of Technology)",2959.0,1776.0,OBC-NCL,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",345.0,74.0,ST,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",98.0,98.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",5437.0,4183.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",1475.0,1094.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",151.0,151.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",355.0,258.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",417.0,172.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",243.0,65.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2622.0,2554.0,OBC-NCL,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",1891.0,1361.0,OBC-NCL,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",1123.0,1123.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",1841.0,838.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",94.0,94.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",335.0,161.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",441.0,217.0,SC,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2450.0,1701.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",400.0,153.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (4 Years, Bachelor of Technology)",253.0,240.0,ST,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",326.0,281.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",252.0,219.0,SC,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",46.0,46.0,OPEN,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",183.0,183.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",7455.0,6306.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Applied Geology (5 Years, Integrated Master of Science)",1123.0,272.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Architecture (5 Years, Bachelor of Architecture)",1072.0,867.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1093.0,328.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",901.0,679.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Economics (5 Years, Integrated Master of Science)",1013.0,658.0,ST,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",32.0,32.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",19.0,19.0,OBC-NCL,true
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",7295.0,5408.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1641.0,1362.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",541.0,455.0,ST,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",89.0,89.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2333.0,2247.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",145.0,79.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",50.0,19.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",81.0,18.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Engineering Physics (4 Years, Bachelor of Technology)",337.0,204.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",929.0,602.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1885.0,1665.0,OBC-NCL,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",531.0,454.0,ST,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",70.0,70.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",122.0,16.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Engineering Physics (4 Years, Bachelor of Technology)",995.0,481.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",26.0,26.0,OPEN,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",472.0,257.0,ST,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",1234.0,983.0,SC,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",1899.0,1411.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",4033.0,2938.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",3282.0,2669.0,OBC-NCL,false
Indian Institute of Technology Indore,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",7732.0,6082.0,OPEN,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",1601.0,1432.0,OBC-NCL,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",125.0,94.0,SC,false
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",42.0,42.0,OBC-NCL,true
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",516.0,440.0,OBC-NCL,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",5059.0,3124.0,OPEN,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",1813.0,1096.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",9.0,9.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",184.0,132.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",812.0,801.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Engineering Physics and M.Tech. with specialization in Nano Science (5 Years, Bachelor and Master of Technology (Dual Degree))",50.0,50.0,OBC-NCL,true
